[false,"0",0.017926,17,"WETH","USDC",1.012896]
[true,"11965279893623412",0.001034,26,"WETH","USDC",1.000752]
[true,"11957668284472513",0.002389,26,"WETH","USDC",1.001716]
[true,"12295104494078532",0.0036,35,"WETH","USDC",1.002628]
[true,"12938714839030956",0.004154,28,"WETH","USDC",1.002994]
[false,"0",0.005332,7,"WETH","USDC",1.003843]
[true,"13084876572196006",0.005499,39,"WETH","USDC",1.003976]
[true,"14096336199911071",0.000092,38,1630561146.523,"WETH","USDC",1.000068]
[true,"175230000",21.383095,585839,1630616529.91,"USDC","WETH",1.002831]
[true,"8572956796207933",0.006438,32,1630616917.681,"WETH","LINK",1.000556]
[true,"103229474",11.752771,585431,1630616933.379,"USDC","WETH",1.001556]
[true,"98281614310679282",0.05115,35,1630628370.366,"WETH","LINK",1.00451]
[true,"55660582600400894",0.001432,24,1630629803.571,"WETH","USDC",1.000399]
[false,"0",72.441823,16,1630629828.878,"DAI","WETH",1.001933]
[true,"85401601674784456",0.028092,78,1630657692.976,"WETH","USDC",1.00706]
[true,"123124463990293353",0.029884,24,1630659040.083,"WETH","LINK",1.002639]
[true,"252783191642460390",0.159214,15,1630661043.764,"WETH","LINK",1.01414]
[true,"93824007185634707",0.000342,17,1630661707.963,"WETH","LINK",1.00003]
[true,"75851279980467295",0.020157,77,1630662384.006,"WETH","USDC",1.005219]
[true,"58827374696281196",0.002949,79,1630662919.595,"WETH","USDC",1.000753]
[false,"0",0.002949,4,1630662991.638,"WETH","USDC",1.000753]
[true,"69165552742698448",0.013252,76,1630663191.539,"WETH","USDC",1.003387]
[true,"69165552742698448",0.013252,46,1630663221.641,"WETH","USDC",1.003387]
[false,"0",0.013252,14,1630663249.295,"WETH","USDC",1.003387]
[true,"65531670470477160",0.00963,75,1630663464.492,"WETH","USDC",1.00246]
[true,"65531670470477160",0.00963,44,1630663493.536,"WETH","USDC",1.00246]
[false,"0",0.00963,15,1630663521.538,"WETH","USDC",1.00246]
[true,"69544710824819525",0.015663,71,1630664182.116,"WETH","USDC",1.004467]
[true,"69544710824819525",0.015663,38,1630664216.655,"WETH","USDC",1.004467]
[false,"0",0.015663,4,1630664246.519,"WETH","USDC",1.004467]
[false,"0",0.001716,18,1630686393.945,"WETH","USDC",1.000439]
[true,"71446048609275892",0.015548,71,1630687154.19,"WETH","USDC",1.003979]
[true,"70316148539408084",0.014422,44,1630687179.962,"WETH","USDC",1.003691]
[true,"72894866952385262",0.01699,18,1630687204.758,"WETH","USDC",1.004348]
[true,"67205664240802430",0.011328,77,1630687417.419,"WETH","USDC",1.002899]
[true,"67257971169190379",0.011559,49,1630687443.806,"WETH","USDC",1.002958]
[true,"61759722362285456",0.005908,25,1630687469.467,"WETH","USDC",1.001512]
[true,"51261112142284363",0.002425,2338,1630688985.506,"WETH","USDC",1.000964]
[true,"54318169327176605",0.005466,2320,1630689002.996,"WETH","USDC",1.002173]
[true,"56293025338998225",0.007431,2302,1630689020.886,"WETH","USDC",1.002954]
[true,"58749217714478490",0.009876,2284,1630689039.2,"WETH","USDC",1.003926]
[true,"62920408917017612",0.014025,2256,1630689070.215,"WETH","USDC",1.005575]
[true,"65409120060827827",0.016503,2211,1630689115.478,"WETH","USDC",1.00656]
[true,"67121189269118221",0.018206,2190,1630689137.921,"WETH","USDC",1.007237]
[true,"59190489855261379",0.017111,2167,1630689159.253,"WETH","USDC",1.006802]
[true,"51937925925219083",0.003107,3590,1630689179.561,"WETH","USDC",1.001236]
[true,"74252026923791169",0.025309,3567,1630689205.801,"WETH","USDC",1.010068]
[true,"55009045280199954",0.006163,3543,1630689224.127,"WETH","USDC",1.002452]
[true,"62657986922782756",0.013773,3525,1630689241.449,"WETH","USDC",1.005479]
[true,"57991618300953685",0.009122,1757,1630689566.791,"WETH","USDC",1.003626]
[true,"59870382817169683",0.010991,1739,1630689585.582,"WETH","USDC",1.004369]
[true,"62242202172118183",0.01335,1720,1630689602.891,"WETH","USDC",1.005307]
[true,"61818579298198281",0.01293,1702,1630689621.341,"WETH","USDC",1.00514]
[true,"61818579298198281",0.01293,1684,1630689638.724,"WETH","USDC",1.00514]
[true,"344666089",30.112967,39,1630695927.565,"USDC","WETH",1.000762]
[true,"57739580672604852",0.007293,1777,1630700876.725,"WETH","USDC",1.001417]
[true,"64757811296364043",0.006655,1754,1630700901.462,"WETH","USDC",1.001293]
[true,"73980823118817278",0.011993,1727,1630700928.469,"WETH","USDC",1.00233]
[true,"67139950229849955",0.005064,1673,1630700976.979,"WETH","USDC",1.000984]
